symptom,n.  症状；征兆
convey,vt. 传达；运输；让与
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
insist,"vi. 坚持，强调
vt. 坚持，强调"
maintain,vt. 维持；继续；维修；主张；供养
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
observation,n. 观察；监视；观察报告
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
embody,vt. 体现，使具体化；具体表达
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
specify,vt. 指定；详细说明；列举；把…列入说明书
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarification,n. 澄清，说明；净化
specification,n. 规格；说明书；详述
testimony,n.  证词，证言；证据
denote,vt. 表示，指示
denotation,n. 符号；表示；意义；指示
emphasize,vt. 强调，着重
emphasis,n. 重点；强调；加强语气
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
speculate,"vi. 推测；投机；思索
vt. 推断"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumably,adv. 大概；推测起来；可假定
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
rumor,"n. 谣言；传闻
vt. 谣传；传说"
subjective,adj. 主观的；个人的；自觉的
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
propel,vt. 推进；驱使；激励；驱策
motivate,vt. 刺激；使有动机；激发…的积极性
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
evoke,vt. 引起，唤起；博得
provoke,vt. 驱使；激怒；煽动；惹起
incur,vt. 招致，引发；蒙受
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
induce,vt. 诱导；引起；引诱；感应
generate,vt. 使形成；发生；生殖；产生物理反应
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
impel,vt. 推动；驱使；激励
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
derive,"vt. 源于；得自；获得
vi. 起源"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
attribute,"n. 属性；特质
vt. 归属；把…归于"
outcome,n. 结果，结局；成果
compel,vt. 强迫，迫使；强使发生
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
exert,vt. 运用，发挥；施以影响
sake,n. 目的；利益；理由；日本米酒
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
logical,adj. 合逻辑的，合理的；逻辑学的
subsequent,adj. 后来的，随后的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
momentum,n. 势头； 动量；动力；冲力
system,n. 制度，体制；系统；方法
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
mode,n. 模式；方式；风格；时尚
framework,n. 框架，骨架；结构，构架
criterion,n. （批评判断的）标准；准则；规范；准据
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
classify,vt. 分类；分等
category,n. 种类，分类； 范畴
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
flatter,vt. 奉承；谄媚；使高兴
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
obstacle,n. 障碍，干扰；妨害物
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
constrain,vt. 驱使；强迫；束缚
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
restrain,vt. 抑制，控制；约束；制止
restrict,vt. 限制；约束；限定
limit,"n. 限制；限度；界线
vt. 限制；限定"
limited,"adj. 有限的
n. 高级快车"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
discourage,vt. 阻止；使气馁
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
contempt,n. 轻视，蔑视；耻辱
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
misunderstand,vt. 误解；误会
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
refute,vt. 反驳，驳斥；驳倒
ignore,vt. 驳回诉讼；忽视；不理睬
ignorance,n. 无知，愚昧；不知，不懂
ignorant,adj. 无知的；愚昧的
trait,n. 特性，特点；品质；少许
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
morality,n. 道德；品行，美德
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
virtue,n. 美德；优点；贞操；功效
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
dignity,n. 尊严；高贵
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
strength,n. 力量；力气；兵力；长处
wit,"n. 智慧；才智；智力
v. <古>知道；即"
competent,adj. 胜任的；有能力的；能干的；足够的
capable,adj. 能干的，能胜任的；有才华的
dilemma,n. 困境；进退两难；两刀论法
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
confront,vt. 面对；遭遇；比较
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
eliminate,vt. 消除；排除
modify,"vt. 修改，修饰；更改
vi. 修改"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
resolution,n.  分辨率；决议；解决；决心
resolute,adj. 坚决的；果断的
flexible,adj. 灵活的；柔韧的；易弯曲的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
rid,vt. 使摆脱；使去掉
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
advisable,adj. 明智的，可取的，适当的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
obsession,n. 痴迷；困扰； 强迫观念
zeal,n. 热情；热心；热诚
indignation,n. 愤慨；愤怒；义愤
resent,vt. 怨恨；愤恨；厌恶
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
perplex,vt. 使困惑，使为难；使复杂化
bewilder,vt. 使迷惑，使不知所措
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
affection,n. 喜爱，感情；影响；感染
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
hatred,n. 憎恨；怨恨；敌意
agony,n. 苦恼；极大的痛苦；临死的挣扎
mourn,v. 哀悼；忧伤；服丧
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
intense,adj. 强烈的；紧张的；非常的；热情的
intensity,n. 强度；强烈； 亮度；紧张
considerable,adj. 相当大的；重要的，值得考虑的
multitude,n. 群众；多数
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
prone,adj. 俯卧的；有…倾向的，易于…的
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
diagram,"n. 图表；图解
vt. 用图解法表示"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
graphic,adj. 形象的；图表的；绘画似的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
finite,"n. 有限之物
adj. 有限的；限定的"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
