potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
put ... on the line,找不到解释
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
client,n.  客户；顾客；委托人
detective,"n. 侦探
adj. 侦探的"
subjective,adj. 主观的；个人的；自觉的
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
groundwork,n. 基础；地基，根基
premier,"n. 总理，首相
adj. 第一的；最初的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
fabric,n. 织物；布；组织；构造；建筑物
fibre,n. 纤维；纤维制品
qualification,n. 资格；条件；限制；赋予资格
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
swing into action, 迅速采取行动
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
candidate,n. 候选人，候补者；应试者
gain the upper hand, 占上风；处于有利地位；得到优势
applicant,n. 申请人，申请者；请求者
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prior to,"adj. 前于
 此前；在…之前；先于"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
criterion,n. （批评判断的）标准；准则；规范；准据
concisely,adv. 简明地，简洁地
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
refreshed,"adj. 恢复精神的
v. 使清凉；使重新提起精神；得到补充给养（refresh的过去分词）"
mode,n. 模式；方式；风格；时尚
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
duration,"n. 持续，持续的时间，期间
音长，音延"
for the duration,"na. 战争未结束期间
 在整个非常时期内；在整段时期内；在整段时间内"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
infer,"vi. 推断；作出推论
vt. 推断；推论"
convey,vt. 传达；运输；让与
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
genuine,adj. 真实的，真正的；诚恳的
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
put one's best foot forward,"na. 拼命走；逞能；争先快走；全力以赴
 飞速跑；留一个好印象；企图给人以尽可能好的印象"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
madam,n. 夫人；女士；鸨母
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
tournament,n. 锦标赛，联赛；比赛
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
composition,n. 作文，作曲，作品； 构成；合成物；成分
educator,n. 教育家；教育工作者；教师
Confucius,n. 孔子（中国哲学家，教育家）
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
be bound to,"v. 一定要；决心
 必定；注定；一定会"
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
comprehension,n. 理解；包含
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
self-worth,n. 自我价值；自尊；自负
cognition,n. 认识；知识；认识能力
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
inductive,adj.  归纳的； 感应的；诱导的
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
assumption,n. 假定；设想；担任；采取
domain,n. 领域；域名；产业；地产
vocational,adj. 职业的，行业的
occupation,n. 职业；占有；消遣；占有期
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
recreation,n. 娱乐；消遣；休养
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
statistic,"n. 统计数值
adj. 统计的，统计学的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
in a flash,"na. 刹那间；瞬间；一下子
 一瞬间；一刹那间；转瞬间"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
compose oneself,"na. 使自己镇定下来
 镇静；使自己镇定下来；镇静下来"
circus,n. 马戏；马戏团
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
geometry,"n. 几何学
几何结构"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
laptop,n. 膝上型轻便电脑，笔记本电脑
sneeze,"n. 喷嚏
vi. 打喷嚏"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
polish,找不到解释
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
presentation,n. 展示；描述，陈述；介绍；赠送
cafeteria,n. 自助餐厅
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bounce ... off ...,找不到解释
professor,n. 教授；教师；公开表示信仰的人
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
intimidating,adj. 吓人的
carriage,n. 运输；运费；四轮马车；举止；客车厢
kettle,n. 壶； 釜；罐；鼓
librarian,n. 图书馆员；图书管理员
forehead,n. 额，前额
extension,n. 延长；延期；扩大；伸展；电话分机
