acrobatics,n. 杂技；巧妙手法
roof garden,"n. 屋顶花园
 空中花园；楼顶花园；屋顶绿化"
single room,"un. 单人房间
 单人间；单间；单人客房"
double room,"n. 双人房间
 双人间；带一张双人床的房间；大床间"
twin-bed room,找不到解释
deluxe suite, 豪华套房；豪华套间；高级套房
window-sill,n. 窗台; 窗槛
dressing-table,n. 梳妆台
clothes-hanger,找不到解释
fitness room,找不到解释
billiard room,"n. 弹子房
 台球室；桌球室；台球室工作程序"
give the morning call,找不到解释
do the laundry, 洗衣服；洗熨衣服；做洗衣服的活
hammock,"n. 吊床；吊铺；吊带
vt. 睡吊床"
washroom,n. 洗手间；盥洗室；厕所
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
lavatory,n. 厕所，盥洗室
shower bath,"na. 淋浴(装置)；湿透
 淋浴房；沐浴露；淋湿"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
nailbrush,n. 指甲刷
faucet,n. 旋塞；插口. 水龙头
kitchen,n. 厨房；炊具；炊事人员
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
sitting,"n. 入席，就坐；开庭；孵卵；坐着的一段时间
v. 坐；坐落（sit的ing形式）
adj. 坐着的；孵卵中的；在任期中的"
parlour,n. 客厅；会客室；雅座
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
studio,n. 工作室； 演播室；画室；电影制片厂
library,n. 图书馆，藏书室；文库
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
lavatory,n. 厕所，盥洗室
storeroom,n. 库房；储藏室
basement,n. 地下室；地窖
attic,n. 阁楼；顶楼；鼓室上的隐窝
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
courtyard,n. 庭院，院子；天井
backyard,n. 后院；后庭
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
lawn,n. 草地；草坪
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
hotel boy,找不到解释
water bed,"na. 电热温水褥
 水床；充水床垫；求购水床"
shower curtain, 浴帘；浴盆帘；淋浴帘
soap dish,"na. 肥皂缸
 浴皂盒；肥皂盒；肥皂碟"
towel rail,"n. 毛巾架
 手巾架；毛巾杆；挂毛巾架"
bath sponge,洗澡用海绵
back brush,找不到解释
massage brush,擦身刷
hair brush, 发刷；梳子；毛刷
tooth brush, 牙刷；牙刷儿；电动牙刷
tooth paste,"na. 牙膏
 牙齿健康乳；印度求购牙胶"
toilet paper,"n. 卫生纸；手纸；厕纸
 草纸；厕所纸；求购卫生纸"
pipe-line gas,找不到解释
fire extinguisher,"n. 灭火器
 灭火筒；灭火专用；灭火机"
front room,"na. 前屋(尤指起坐室)
 前室；客厅；前厅"
reception room,"n. （尤用于推销房屋时的）接待室
 会客室；传达室；会客厅"
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
spare room,"un. 备用室
 客房；空房；空房间"
reception desk,"na. (旅馆的)接待处
 总服务台；前台；接待台"
hotel manager, 饭店经理；酒店经理；旅馆经理
desk clerk,"n. 接待人员；办公室职员
 接待员；值班服务员；前台职员"
hotel vestibule,找不到解释
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
dry-clean,"vt. 干洗（衣服）
vi. 进行干洗"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
polish,找不到解释
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
balcony,n. 阳台；包厢；戏院楼厅
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
bathroom,n. 浴室；厕所；盥洗室
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
attic,n. 阁楼；顶楼；鼓室上的隐窝
basement,n. 地下室；地窖
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
porch,n. 门廊；走廊
playroom,n. 游戏室；娱乐室
furniture,n. 家具；设备；储藏物
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
fridge,n. 电冰箱
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
cooker,n. 炊具；烹饪用水果；窜改者
oven,n. 炉，灶；烤炉，烤箱
cupboard,n. 碗柜；食橱
kettle,n. 壶； 釜；罐；鼓
saucepan,n. 炖锅；深平底锅
range hood,"n. 油烟机
 抽油烟机；除油烟机；吸油烟机"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
lifestyle,"n. 生活方式
保健的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
rhythm,n. 节奏；韵律
decoration,n. 装饰，装潢；装饰品；奖章
bungalow,n. 平房；小屋
bathroom,n. 浴室；厕所；盥洗室
comfortable,"n. 盖被
adj. 舒适的，舒服的"
sunshine,n. 阳光；愉快；晴天；快活
homeless,"adj. 无家可归的
无家可归的人
无家可归"
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
utility room,"n. 杂用间（放置洗衣机、电冰箱等大体积家用器具）
 杂物间；杂用室；多功能用房"
spare room,"un. 备用室
 客房；空房；空房间"
CD player,"abbr. (=compact disc player)激光唱机
 雷射唱机；播放机；音响"
hi-fi,"n. 高保真度的音响设备
adj.  高保真度的"
stereo system,"un. 立体声系统
 立体音响系统；立体声音响；音响设备"
coffee table,"n. 茶几；咖啡桌
 咖啡台；矮茶几；一个咖啡桌"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
food mixer,"n. 食品搅拌器
 食物搅拌器；搅拌机；食品搅拌机"
frying pan,"n. 长柄平底煎锅
 平底锅；炒锅；炒菜锅"
chest of drawers,"n. 五斗橱；（有抽屉的）衣橱
 五斗柜；多屉橱柜；衣柜"
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
construction material,"un. 建筑材料；结构材料
 工程材料；建材；求购建筑材料"
clay or hay,找不到解释
night life,"na. 夜生活
 夜浦；平壤夜生活；午夜时光"
spacious rooms,找不到解释
noisy community,找不到解释
rules and regulations,"un. 规章制度
 规章制度管理；规则；规章尺度"
different habits,找不到解释
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
fresh air,"na. 新鲜的空气
 新鲜空气；新风；清新空气"
living space,"na. 生存空间；(房屋的)可居住面积
 生活空间；居住空间；居住建筑空间"
large population, 人口众多；人口多；庞大的人口
control population,"《英汉医学词典》control population
对照群体"
skyscrapers,n. 摩天大楼，摩天大厦（skyscraper复数形式）
accommodate more people,找不到解释
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
wardrobe,n. 衣柜；行头；全部戏装
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
washbasin,n. 脸盆
ceiling,n. 天花板；上限
heater,n. 加热器；加热工
electricity,n. 电力；电流；强烈的紧张情绪
alarm clock,"n. 闹钟
 闹铃时钟；响闹式时钟；闹钟功能"
rocking chair,"n. 摇椅
 摇摆椅；化妆盒摇椅；摇摇椅"
modern facility,找不到解释
air-conditioner,n. 空调
flowers, 花（flower的复数）
narcissus,n. 水仙
daisy,"n. 雏菊；菊科植物；极好的东西
adj. 极好的；上等的"
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
carnation,"n.  康乃馨；肉色；粉红色
adj. 肉红色的"
sunflower,n. 向日葵
dandelion,n. 蒲公英
forget-me-not,n. 勿忘草
gypsophila,n. 满天星；丝石竹
yellow rose,找不到解释
water lily,"n. 睡莲
 荷花；水百合；水莲"
open a new business,找不到解释
happy atmosphere,找不到解释
cozy and romantic,找不到解释
botanic garden,"n. 植物园
 植物公园；皇家热带植物园；南澳大利亚植物园"
buttercup,"n. 毛茛属植物
adj. 毛茛属植物的"
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
tulip,n. 郁金香
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
chrysanthemum,n. 菊花
snowdrop,n. 雪花莲
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
jasmine,n. 茉莉；淡黄色
peony,n. 牡丹；芍药
cactus,n.  仙人掌
camellia,n. 山茶；山茶花；山茶属
plum blossom,"un. 梅花
 梅花三弄；青春；多指梅花"
peach blossom,"na. 桃花
 桃红色；桃花满天红；蜜桃花丛"
cherry blossom,"n. 樱花
 樱花盛开；盛开樱花；樱花季"
mandarin,"n. （中国）普通话；国语；官话；满清官吏；柑橘
adj. 紧身马褂的"
Cantonese,"n. 广东人；广东话
adj. 广州的，广州人的"
vivid,adj. 生动的；鲜明的；鲜艳的
vocabulary,n. 词汇；词表；词汇量
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
native language,"n. 本族语
 母语；本国语；本国语言"
local dialect, 乡谈；土语；土话
memorize words,找不到解释
memory,n. 记忆，记忆力；内存， 存储器；回忆
importance of English,找不到解释
tell English stories,找不到解释
arouse the interest,找不到解释
useful for communication,找不到解释
grasp the language,找不到解释
native speakers, 母语是英语的人们；母语的人士；讲本族语的人
English speaking environment,找不到解释
required course, 必修课；必修课程；必修科目
language intuition, 语感；语言直觉
world peace, 世界和平；和平世界；世界和平饮食
Science of Law,找不到解释
Legal History,找不到解释
Constitutional Law and Administrative Law,找不到解释
Science of Procedure Laws,找不到解释
Science of Economic Law,找不到解释
International Law,找不到解释
Science of Military Law,找不到解释
Criminal Law,找不到解释
Administrative Law,找不到解释
Civil Law,找不到解释
Commercial Law,找不到解释
Natural Law,找不到解释
Labour Law,找不到解释
Fiscal Law,找不到解释
Military Law,找不到解释
Copyright Law,找不到解释
civil rights,"n. 公民权
 公民权利；民事权利；民权运动"
customs duties,"na. 关税
 进口税；海关税；海关关税"
death duty,"na. 遗产税
 死亡税"
death tax,"n. 遗产税
 死亡税；死人税；死亡税或死人税"
royalty,n. 皇室；版税；王权；专利税
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
government bill,"un. 政府支付证券
 政府议案；政府法案；政府短期债券"
pass a bill,找不到解释
carry a bill,通过议案
enact a law, 制定一条法律；立法；颁布法律
promulgate a law,找不到解释
law enforcement, 执法；法律的实施；法律实施
come into force,"na. 实行
 生效；开始生效；实施"
legislation,n. 立法；法律
legislator,n. 立法者
legality,n. 合法；合法性；墨守法规
lawfulness,法制，合法
legal,adj. 法律的；合法的；法定的；依照法律的
lawful,adj. 合法的；法定的；法律许可的
contravene a law,犯法
infringe a law,找不到解释
break a law,"违反法规,犯法"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
