disastrous,adj. 灾难性的；损失惨重的；悲伤的
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
worthwhile,adj. 值得做的，值得花时间的
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
corruption,n. 贪污，腐败；堕落
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
convey,vt. 传达；运输；让与
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
economy,n. 经济；节约；理财
intend,"vi. 有打算
vt. 打算；想要；意指"
highly,adv. 高度地；非常；非常赞许地
elementary,adj. 基本的；初级的； 元素的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
decade,n. 十年，十年期；十
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
probability,n. 可能性；机率； 或然率
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
eternal,adj. 永恒的；不朽的
invariably,adv. 总是；不变地；一定地
minimise,vt. 使缩到最小；成极小；求最小值
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
deficit,n. 赤字；不足额
reap,"vt. 收获，获得；收割
vi. 收割，收获"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
extinguish,vt. 熄灭；压制；偿清
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
magnetic,adj. 地磁的；有磁性的；有吸引力的
evidently,adv. 显然，明显地；清楚地
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
superiority,n. 优越，优势；优越性
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
malnutrition,n. 营养失调，营养不良
liberty,n. 自由；许可；冒失
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
candidate,n. 候选人，候补者；应试者
misfortune,n. 不幸；灾祸，灾难
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
outpost,n. 前哨；警戒部队；边区村落
monastery,n. 修道院；僧侣
battalion,n. 营，军营；军队，部队
regime,n. 政权，政体；社会制度；管理体制
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
psychiatrist,n. 精神病学家，精神病医生
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
synthesis,n. 综合， 合成；综合体
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
constrict,vt. 压缩；束紧
reside,vi. 住，居住；属于
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
symmetrical,adj. 匀称的，对称的
brink,n. （峭壁的）边缘
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
conceited,adj. 自负的；狂想的；逞能的
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
leaflet,n. 小叶；传单
fury,n. 狂怒；暴怒；激怒者
geology,n. 地质学；地质情况
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
observatory,n. 天文台；气象台；瞭望台
linguistic,adj. 语言的；语言学的
thrift,n. 节俭；节约； 海石竹
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
bolster,"n. 支持；长枕
vt. 支持；支撑"
abbreviation,n. 缩写；缩写词
malice,n. 恶意；怨恨；预谋
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
equate,"vt. 使相等；视为平等
vi. 等同"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
tournament,n. 锦标赛，联赛；比赛
infrastructure,n. 基础设施；公共建设；下部构造
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
BBQ,找不到解释
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
bitch,"n. 母狗，母狼；泼妇；牢骚事
vt. 糟蹋；弄糟
vi. 发牢骚"
waive,vt. 放弃；搁置
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
potent,adj. 有效的；强有力的，有权势的；有说服力的
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
tumour,n.  瘤；肿瘤；肿块
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
curtail,vt. 缩减；剪短；剥夺…特权等
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
warehouse,n. 仓库；货栈；大商店
sufficient,adj. 足够的；充分的
testify,"vi. 作证；证明
vt. 证明，证实；作证"
petty,adj. 琐碎的；小气的；小规模的
poverty,n. 贫困；困难；缺少；低劣
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
nervous,adj. 神经的；紧张不安的；强健有力的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
entertainment,n. 娱乐；消遣；款待
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
tragedy,n. 悲剧；灾难；惨案
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
worthless,adj. 无价值的；不值钱的；卑微的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
cargo,n. 货物，船货
equipment,n. 设备，装备；器材
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
optional,"adj. 可选择的，随意的
n. 选修科目"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
evident,adj. 明显的；明白的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
expertise,n. 专门知识；专门技术；专家的意见
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
perspective,"n. 观点；远景；透视图
adj. 透视的"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
atomic,adj. 原子的，原子能的；微粒子的
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
repeatedly,adv. 反复地；再三地；屡次地
dense,adj. 稠密的；浓厚的；愚钝的
delivery,n.  交付；分娩；递送
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
tuition,n. 学费；讲授
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
deprive,vt. 使丧失，剥夺
element,n. 元素；要素；原理；成分；自然环境
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
empirical,adj. 经验主义的，完全根据经验的；实证的
sake,n. 目的；利益；理由；日本米酒
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
marvellous,adj. 不可思议的；惊人的
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
accurate,adj. 精确的
likelihood,n. 可能性，可能
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
conquest,n. 征服，战胜；战利品
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
meantime,"n. 其时，其间
adv. 同时；其间"
undergo,vt. 经历，经受；忍受
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
negligible,adj. 微不足道的，可以忽略的
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
immunise,vt. 使某人免疫
denote,vt. 表示，指示
afflict,vt. 折磨；使痛苦；使苦恼
fatality,n. 死亡；宿命；致命性；不幸；灾祸
detain,vt. 拘留；留住；耽搁
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
subsidy,n. 补贴；津贴；补助金
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
intelligible,adj. 可理解的；明了的；仅能用智力了解的
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
junk,n. 垃圾，废物；舢板
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
sarcasm,n. 讽刺；挖苦；嘲笑
magnitude,n. 大小；量级； 震级；重要；光度
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
concise,adj. 简明的，简洁的
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
adversary,n. 对手；敌手
bilateral,adj. 双边的；有两边的
embroidery,n. 刺绣；刺绣品；粉饰
collaborate,vi. 合作；勾结，通敌
turkey,n. 土耳其（横跨欧亚两洲的国家）
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
beset,vt. 困扰；镶嵌；围绕
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
Marxism,"n. 马克思主义
adj. 马克思的；马克思主义的"
plumber,n. 水管工；堵漏人员
commune,"n. 公社
vi. 谈心，亲密交谈；密切联系"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
antenna,n.  天线； 触角， 触须
maternal,adj. 母亲的；母性的；母系的；母体遗传的
vendor,n. 卖主；小贩；供应商； 自动售货机
superstition,n. 迷信
astronaut,n. 宇航员，航天员；太空旅行者
hospitable,adj. 热情友好的；（环境）舒适的
badminton,n. 羽毛球
avenge,"vt. 替…报仇
vi. 报复，报仇"
dissertation,n. 论文，专题；学术演讲
eminent,adj. 杰出的；有名的；明显的
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
homeland,n. 祖国；故乡
nitrogen,n.  氮
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
