enjoyable,adj. 快乐的；有乐趣的；令人愉快的
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
oxygen,n.  氧气， 氧
decade,n. 十年，十年期；十
do one's part,"na. 尽自己本分
 尽本分；尽职责；尽自己的职责"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
on the one hand ... on the other hand ...,找不到解释
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
toy with, 玩弄；摆弄；不很认真地考虑
real-life,adj. 现实的；实在的
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
mammal,n.  哺乳动物
Scottish,"n. 苏格兰人；苏格兰语
adj. 苏格兰的；苏格兰人的；苏格兰语的"
intention,n. 意图；目的；意向；愈合
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
saleswoman,n.  女售货员； 女店员
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
legal,adj. 法律的；合法的；法定的；依照法律的
push ahead with, 推进；努力推进；推动
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
physician,n.  医师；内科医师
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
consequence,n. 结果；重要性；推论
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
for sale,"na. 出售(的)
 待售；供出售；出售的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
concept,n. 观念，概念
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
profession,n. 职业，专业；声明，宣布，表白
radiation,n. 辐射；发光；放射物
breakthrough,n. 突破；突破性进展
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
judgement,n. 意见；判断力； 审判；评价
be burnt out, 累垮；被火烧光；筋疲力尽
get burnt out,找不到解释
relation,n. 关系；叙述；故事；亲属关系
follow in one's footsteps,照…的样子干，走…的道路
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
majority,n. 多数；成年
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
consideration,n. 考虑；原因；关心；报酬
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
nutrition,n. 营养，营养学；营养品
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
accurate,adj. 精确的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
actual,adj. 真实的，实际的；现行的，目前的
confirm,vt. 确认；确定；证实；批准；使巩固
agriculture,n. 农业；农耕；农业生产；农艺，农学
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
catastrophe,n. 大灾难；大祸；惨败
resource,n. 资源，财力；办法；智谋
acre,n. 土地，地产；英亩
rainforest,n. （热带）雨林
income,n. 收入，收益；所得
genetics,n. 遗传学
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
genetically,adv. 从遗传学角度；从基因方面
modify,"vt. 修改，修饰；更改
vi. 修改"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
DNA,abbr. 脱氧核糖核酸（deoxyribonucleic acid）；（美国）国防部核子局 （Defense Nuclear Agency）
pest,n. 害虫；有害之物；讨厌的人
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
permission,n. 允许，许可
comedy,n. 喜剧；喜剧性；有趣的事情
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
crosstalk,n. 相声；串话干扰，串台
stand up for,"na. 拥护
 支持；维护；坚持"
stand-up,adj. 站立的；直立的；说单口相声的
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
comedian,n. 喜剧演员；滑稽人物
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
variety,n. 多样；种类；杂耍；变化，多样化
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
visual,adj. 视觉的，视力的；栩栩如生的
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
performance,n. 性能；绩效；表演；执行；表现
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
affection,n. 喜爱，感情；影响；感染
performer,n. 演出者；执行者；演奏者
academy,n. 学院；研究院；学会；专科院校
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
little-known,鲜为人知的
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
technical,adj. 工艺的，科技的；技术上的；专门的
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
silent film,"n. 无声电影
 无声片；默片；默片无声片"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
amuse,vt. 娱乐；消遣；使发笑；使愉快
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
cigar,n. 雪茄
bathtub,n. 浴缸
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
mourn,v. 哀悼；忧伤；服丧
fitness,n. 健康；适当；适合性
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
deep-breathing,na. 深呼吸
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
drive away,"v. 赶走
 开走；把车开走；离开"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
foolishness,n. 愚蠢；可笑
foreigner,n. 外地人，外国人
instruct,vt. 指导；通知；命令；教授
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
polish,找不到解释
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
textbook,n. 教科书，课本
cosy,"n. 保温罩
adj. 舒适的；惬意的"
invitation,n. 邀请；引诱；请帖；邀请函
alongside,"prep. 在……旁边
adv. 在旁边"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
official-looking, 貌似官方的
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
empty-handed,"adv. 空手地；一无所有地
adj. 空手的；徒手的"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
toilet paper,"n. 卫生纸；手纸；厕纸
 草纸；厕所纸；求购卫生纸"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
gymnast,n. 体操运动员
viewer,n. 观察者；观看者；观众； 指示器
goodwill,n.  商誉；友好；好意
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
in good spirits,"na. 精神好
 精神抖擞；精神状态饱满；情绪很好"
appreciation,n. 欣赏，鉴别；增值；感谢
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
accomplish,vt. 完成；实现；达到
thankful,adj. 感谢的；欣慰的
adapt,"vi. 适应
vt. 使适应；改编"
broadcasting,"n. 播放；广播节目
v. 广播（broadcast的ing形式）"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
unbearable,adj. 难以忍受的；承受不住的
go after,"na. 追求
 追逐；追赶；寻找"
alcohol,n. 酒精，乙醇
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
depth,n.  深度；深奥
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
instructor,n. 指导书；教员；指导者
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
procedure,n. 程序，手续；步骤
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
talent,n. 才能；天才；天资
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
adequate,adj. 充足的；适当的；胜任的
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
golden,adj. 金色的，黄金般的；珍贵的；金制的
at that point, 在那时；在那个阶段；就在那时
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
entertainment,n. 娱乐；消遣；款待
hardship,n. 困苦；苦难；艰难险阻
ache,"n. 疼痛
vi. 疼痛；渴望"
vivid,adj. 生动的；鲜明的；鲜艳的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
workday,"n. 工作日
adj. 日常的，工作日的；平凡的"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
motivation,n. 动机；积极性；推动
Thailand,n. 泰国（东南亚国家名）
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
the Middle East,"na. 中东
 中东地区；中东国家；中东探索"
Arab,"n. 阿拉伯人；阿拉伯马
adj. 阿拉伯的"
the Netherlands, 荷兰；尼德兰；荷兰女王日
Netherlands,n. 荷兰（形容词Netherlandish）；地区名
Brunei,n. 文莱（东南亚苏丹国）
end-of-term, 期末
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
Korea,n. 韩国；朝鲜
rooster,n. 公鸡；狂妄自负的人
ensure,vt. 保证，确保；使安全
congratulate,vt. 祝贺；恭喜；庆贺
reception,n. 接待；接收；招待会；感受；反应
bridegroom,n. 新郎
bride,n. 新娘；姑娘，女朋友
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
prohibit,vt. 阻止，禁止
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
offence,n. 犯罪；违反；过错；攻击
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
Brit,找不到解释
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
bonfire,n. 篝火；营火
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
celebration,n. 庆典，庆祝会；庆祝；颂扬
firework,n. 烟火；激烈情绪
hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
