source,n. 来源；水源；原始资料
tale,n. 故事；传说；叙述；流言蜚语
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
rewards,"n.  奖励；奖品（reward的复数）
v.  奖赏；酬谢；报答（reward的单三形式）"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
relics,n. 遗迹；遗骸；纪念物（relic的复数）
relic,n. 遗迹，遗物；废墟；纪念物
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
punishment,n. 惩罚；严厉对待，虐待
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
prominent,adj. 突出的，显著的；杰出的；卓越的
procedure,n. 程序，手续；步骤
prevalent,adj. 流行的；普遍的，广传的
predominantly,adv. 主要地；显著地
phenomenon,n. 现象；奇迹；杰出的人才
perception,n. 知觉； 感觉；看法；洞察力；获取
notation,n. 符号；乐谱；注释；记号法
motivate,vt. 刺激；使有动机；激发…的积极性
merely,adv. 仅仅，只不过；只是
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
magma,n.  岩浆；糊剂
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
latent,adj. 潜在的；潜伏的；隐藏的
intricate,adj. 复杂的；错综的，缠结的
intend,"vi. 有打算
vt. 打算；想要；意指"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
instruction,n. 指令，命令；指示；教导；用法说明
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
illumination,n. 照明； 照度；启发；灯饰（需用复数）；阐明
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
greedy,adj. 贪婪的；贪吃的；渴望的
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
eruption,n. 爆发，喷发；火山灰；出疹
elliptical,adj. 椭圆的；省略的
domesticated,"adj. 家养的；驯服的；喜欢家庭生活的
v. 驯养（domesticate的过去分词）；使习惯于家庭生活"
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
depletion,n. 消耗；损耗；放血
criterion,n. （批评判断的）标准；准则；规范；准据
context,n. 环境；上下文；来龙去脉
compression,n. 压缩，浓缩；压榨，压迫
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
bureau,n. 局，处；衣柜；办公桌
bombard,"n. 射石炮
vt. 轰炸；炮击"
backbone,n. 支柱；主干网；决心，毅力；脊椎
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
attentive,adj. 留意的，注意的
attached,"v. 附上（attach的过去分词）
adj. 附加的；依恋的，充满爱心的"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
aristocrats,n. 贵族( aristocrat的名词复数 )
aristocrat,n. 贵族
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
alpine,adj. 阿尔卑斯山的，高山的
advertisement,n. 广告，宣传
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
workshop,n. 车间；研讨会；工场；讲习班
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
violent,adj. 暴力的；猛烈的
tribal,adj. 部落的；种族的
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
tendency,n. 倾向，趋势；癖好
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
stimulus,n. 刺激；激励；刺激物
steadily,adv. 稳定地；稳固地；有规则地
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
silica,n. 二氧化硅； 硅土
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
separation,n. 分离，分开；间隔，距离； 分居；缺口
seldom,adv. 很少，不常
satiric,adj. 讽刺的；挖苦的
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
refused,"v. 拒绝（refuse的过去式和过去分词）
adj. 遭拒绝的"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
ranchers,n. 大农场主( rancher的名词复数 )
rancher,n. 大农场经营者；大农场工人
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
proponent,n. 支持者；建议者；提出认证遗嘱者
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prolific,adj. 多产的；丰富的
profound,adj. 深厚的；意义深远的；渊博的
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
precious,adj. 宝贵的；珍贵的；矫揉造作的
prairie,n. 大草原；牧场
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
phonograph,"n. 留声机； 电唱机
vt. 用留声机灌音；用留声机放音"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
oxide,n.  氧化物
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
obstacle,n. 障碍，干扰；妨害物
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
mysterious,adj. 神秘的；不可思议的；难解的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
meteoric,adj. 大气的；流星的；疾速的
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
laser,n. 激光
kettle,n. 壶； 釜；罐；鼓
instinctive,adj. 本能的；直觉的；天生的
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
imposed,"v. 欺骗（impose的过去分词）；把…强加于
adj. 强加的；施加的；应用的"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
fund,"n. 基金；资金；存款
vt. 投资；资助"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
fingerboard,n. 弦乐器指板；键盘
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
devote,vt. 致力于；奉献
denser,adj. 密集的；浓厚的（dense的比较级）
dense,adj. 稠密的；浓厚的；愚钝的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
defend,"vi. 保卫；防守
vt. 辩护；防护"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
controversial,adj. 有争议的；有争论的
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
cargo,n. 货物，船货
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
assert,vt. 维护，坚持；断言；主张；声称
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
tremendous,adj. 极大的，巨大的；惊人的；极好的
translucent,adj. 透明的；半透明的
thoroughly,adv. 彻底地，完全地
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
surpass,vt. 超越；胜过，优于；非…所能办到或理解
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
statistic,"n. 统计数值
adj. 统计的，统计学的"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
spectacular,adj. 壮观的，惊人的；公开展示的
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
senate,n. 参议院，上院；（古罗马的）元老院
rhythm,n. 节奏；韵律
reasonable,adj. 合理的，公道的；通情达理的
realm,n. 领域，范围；王国
pipeline,n. 管道；输油管；传递途径
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
intelligent,adj. 智能的；聪明的；理解力强的
intact,adj. 完整的；原封不动的；未受损伤的
inclination,n. 倾向，爱好；斜坡
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
enthusiasm,n. 热心，热忱，热情
deterioration,n. 恶化；退化；堕落
compensation,n. 补偿；报酬；赔偿金
cohesion,n. 凝聚；结合； 内聚力
arbitrary,adj.  任意的；武断的；专制的
vivid,adj. 生动的；鲜明的；鲜艳的
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
starvation,n. 饿死；挨饿；绝食
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
slender,adj. 细长的；苗条的；微薄的
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
romanticism,n. 浪漫主义；浪漫精神
radiation,n. 辐射；发光；放射物
pamphlet,n. 小册子
ownership,n. 所有权；物主身份
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
metabolism,n.  新陈代谢
locomotion,n. 运动；移动；旅行
journalism,n. 新闻业，新闻工作；报章杂志
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
harmony,n. 协调；和睦；融洽；调和
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
gigantic,adj. 巨大的，庞大的
formula,n.  公式，准则；配方；婴儿食品
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
expenditure,n. 支出，花费；经费，消费额
essence,n. 本质，实质；精华；香精
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
deforest,vt. 采伐森林；清除…上的树林
crevice,n. 裂缝；裂隙
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
chlorophyll,n.  叶绿素
amplification,n.  放大（率）；扩大；详述
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
vigorous,adj. 有力的；精力充沛的
vacancy,n. 空缺；空位；空白；空虚
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
strategy,n. 战略，策略
skeptical,adj. 怀疑的；怀疑论的，不可知论的
reputation,n. 名声，名誉；声望
refine,vt. 精炼，提纯；改善；使…文雅
pursuit,n. 追赶，追求；职业，工作
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
parasitic,adj. 寄生的（等于parasitical）
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
monopoly,n. 垄断；垄断者；专卖权
linguistic,adj. 语言的；语言学的
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
