abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
harmful,adj. 有害的；能造成损害的
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
headache,n. 头痛；麻烦；令人头痛之事
hence,adv. 因此；今后
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
horrible,adj. 可怕的；极讨厌的
idol,n. 偶像，崇拜物；幻象；谬论
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
imply,vt. 意味；暗示；隐含
industry,n. 产业；工业；勤勉
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
journal,n. 日报，杂志；日记；分类账
justice,n. 司法，法律制裁；正义；法官，审判员
kingdom,n. 王国；界；领域
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
labour,n. （英国）工党
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
lifestyle,"n. 生活方式
保健的"
livestock,n. 牲畜；家畜
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
Mandarin,
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
masterpiece,n. 杰作；绝无仅有的人
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
motel,n. 汽车旅馆
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
occupy,vt. 占据，占领；居住；使忙碌
old-fashioned,adj. 老式的；过时的；守旧的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
output,"n. 输出，输出量；产量；出产
vt. 输出"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
platform,n. 平台；月台，站台；坛；讲台
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
policy,n. 政策，方针；保险单
population,n. 人口； 种群， 群体；全体居民
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
procedure,n. 程序，手续；步骤
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
protect,vt. 保护，防卫；警戒
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
ratio,n. 比率，比例
reality,n. 现实；实际；真实
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
relation,n. 关系；叙述；故事；亲属关系
rely,vi. 依靠；信赖
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
request,"n. 请求；需要
vt. 要求，请求"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
response,n. 响应；反应；回答
seafood,n. 海鲜；海味；海产食品
second-hand,"adj. 旧的，二手的
adv. 间接地，第二手地"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
source,n. 来源；水源；原始资料
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
strength,n. 力量；力气；兵力；长处
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
symbol,n. 象征；符号；标志
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
temperature,n. 温度；体温；气温；发烧
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
thirsty,adj. 口渴的，口干的；渴望的，热望的
thorough,adj. 彻底的；十分的；周密的
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
timely,"adj. 及时的；适时的
adv. 及时地；早"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tragedy,n. 悲剧；灾难；惨案
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
unit,n. 单位，单元；装置； 部队；部件
unusual,adj. 不寻常的；与众不同的；不平常的
upper,adj. 上面的，上部的；较高的
urban,adj. 城市的；住在都市的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
vitamin,n.  维生素； 维他命
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
widespread,adj. 普遍的，广泛的；分布广的
wisdom,n. 智慧，才智；明智；学识；至理名言
workshop,n. 车间；研讨会；工场；讲习班
youth,n. 青年；青春；年轻；青少年时期
zero,"num. 零
n. 零点，零度"
adversary,n. 对手；敌手
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affirm,"vt. 肯定；断言
vi. 确认；断言"
afflict,vt. 折磨；使痛苦；使苦恼
agenda,n. 议程；日常工作事项；日程表
aggravate,vt. 加重；使恶化；激怒
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alliance,n. 联盟，联合；联姻
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
aspire,vi. 渴望；立志；追求
assessment,n. 评定；估价
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
aural,adj. 听觉的；耳的；气味的；先兆的
baggage,n. 行李； 辎重（军队的）
balanced,"adj. 平衡的；和谐的；安定的
v. 用天平称；保持稳定；使…相称（balance的过去分词）"
bandage,"n. 绷带
vt. 用绷带包扎"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
bonus,n. 奖金；红利；额外津贴
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
calibre,n.  口径；才干；水准
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
capacity,n. 能力；容量；资格，地位；生产力
ceiling,n. 天花板；上限
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
certainty,n. 必然；确实；确实的事情
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certification,n. 证明，保证；检定
certify,v. 证明；保证
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chaos,n. 混沌，混乱
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
decisive,adj. 决定性的；果断的，坚定的
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
defiance,n. 蔑视；挑战；反抗
delegate,"n. 代表
vt. 委派…为代表"
delete,vt. 删除
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delicious,adj. 美味的；可口的
denounce,vt. 谴责；告发；公然抨击；通告废除
description,n. 描述，描写；类型；说明书
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
effluent,"n. 污水；流出物；废气
adj. 流出的，发出的"
elective,"adj. 选修的；选举的；选任的
n. 选修课程"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
elementary,adj. 基本的；初级的； 元素的
eliminate,vt. 消除；排除
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embody,vt. 体现，使具体化；具体表达
existence,n. 存在，实在；生存，生活；存在物，实在物
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
