have,"aux. 已经
vt. 有；让；拿；从事；允许"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
profession,n. 职业，专业；声明，宣布，表白
property,n. 性质，性能；财产；所有权
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
stair,n. 楼梯，阶梯；梯级
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
arrangement,n. 布置；整理；准备
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
district,n. 区域；地方；行政区
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
politics,n. 政治，政治学；政治活动；政纲
presentation,n. 展示；描述，陈述；介绍；赠送
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
qualification,n. 资格；条件；限制；赋予资格
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
servant,n. 仆人，佣人；公务员；雇工
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
committee,n. 委员会
complicated,adj. 难懂的，复杂的
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
cupboard,n. 碗柜；食橱
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
detect,vt. 察觉；发现；探测
eagle,n. 鹰；鹰状标饰
efficient,adj. 有效率的；有能力的；生效的
genius,n. 天才，天赋；精神
inspection,n. 视察，检查
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
occupation,n. 职业；占有；消遣；占有期
option,n.  选项；选择权；买卖的特权
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
pub,n. 酒馆；客栈
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
surgery,n. 外科；外科手术；手术室；诊疗室
tendency,n. 倾向，趋势；癖好
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
urban,adj. 城市的；住在都市的
acquire,vt. 获得；取得；学到；捕获
astronaut,n. 宇航员，航天员；太空旅行者
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
depth,n.  深度；深奥
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
exit,"n. 出口，通道；退场
vi. 退出；离去"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
mankind,n. 人类；男性
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
mosquito,n. 蚊子
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
absence,n. 没有；缺乏；缺席；不注意
applicant,n. 申请人，申请者；请求者
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
brochure,n. 手册，小册子
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
inner,"n. 内部
adj. 内部的；内心的；精神的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
investigate,v. 调查；研究
justice,n. 司法，法律制裁；正义；法官，审判员
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
march,n. 三月
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
soccer,n. 英式足球，足球
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
awful,adj. 可怕的；极坏的；使人敬畏的
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
bride,n. 新娘；姑娘，女朋友
bridegroom,n. 新郎
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
conservation,n. 保存，保持；保护
county,n. 郡，县
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
dessert,n. 餐后甜点；甜点心
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
innovation,n. 创新，革新；新方法
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
stadium,n. 体育场；露天大型运动场
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
universe,n. 宇宙；世界；领域
urgent,adj. 紧急的；急迫的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
acknowledge,vt. 承认；答谢；报偿；告知已收到
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
alongside,"prep. 在……旁边
adv. 在旁边"
amuse,vt. 娱乐；消遣；使发笑；使愉快
appetite,n. 食欲；嗜好
blog,n. 博客；部落格；网络日志
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
congratulation,n. 祝贺；贺辞
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
definitely,adv. 清楚地，当然；明确地，肯定地
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
gravity,n. 重力，地心引力；严重性；庄严
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
mixture,n. 混合；混合物；混合剂
output,"n. 输出，输出量；产量；出产
vt. 输出"
preference,n. 偏爱，倾向；优先权
prohibit,vt. 阻止，禁止
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
resolution,n.  分辨率；决议；解决；决心
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
virus,n.  病毒；恶毒；毒害
visual,adj. 视觉的，视力的；栩栩如生的
widespread,adj. 普遍的，广泛的；分布广的
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absolutely,adv. 绝对地；完全地
administration,n. 管理；行政；实施；行政机构
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
cafeteria,n. 自助餐厅
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chairman,n. 主席，会长；董事长
chairwoman,n. 女主席；女议长
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
deadline,n. 截止期限，最后期限
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
diverse,adj. 不同的；多种多样的；变化多的
ecology,n. 生态学；社会生态学
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
extension,n. 延长；延期；扩大；伸展；电话分机
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
librarian,n. 图书馆员；图书管理员
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
millimetre,n. 毫米；公厘
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
petrol,n. （英）汽油
recipe,n. 食谱； 处方；秘诀；烹饪法
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
republic,n. 共和国；共和政体
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
