ban,"n. 禁令，禁忌
vt. 禁止，取缔"
priority,n. 优先；优先权； 优先次序；优先考虑的事
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
consistently,adv. 一贯地；一致地；坚实地
radically,adv. 根本上；彻底地；以激进的方式
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
workforce,n. 劳动力；工人总数，职工总数
deride,vt. 嘲笑；嘲弄
assembly,n. 装配；集会，集合
counterpart,n. 副本；配对物；极相似的人或物
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
complexity,n. 复杂，复杂性；复杂错综的事物
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
afford,vt. 给予，提供；买得起
sufficient,adj. 足够的；充分的
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
constrain,vt. 驱使；强迫；束缚
substantially,adv. 实质上；大体上；充分地
foreseeable,adj. 可预知的；能预测的
thoroughly,adv. 彻底地，完全地
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
philosophy,n. 哲学；哲理；人生观
pursuit,n. 追赶，追求；职业，工作
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
unfold,"vi. 展开；显露
vt. 打开；呈现"
Puritan,
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
theological,adj. 神学的，神学上的
distinctive,adj. 有特色的，与众不同的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
carrier,n.  载体；运送者；带菌者；货架
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
scene,n. 场面；情景；景象；事件
episode,n. 插曲；一段情节；插话；有趣的事件
civility,n. 礼貌；礼仪；端庄
virtuosity,n. 精湛技巧；对艺术品的爱好；艺术爱好者
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
extensively,adv. 广阔地；广大地
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
craftsmen,n. 工匠；手艺人（craftsman的复数形式）
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
superstitious,adj. 迷信的；由迷信引起的
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
frustration,n. 挫折
decisive,adj. 决定性的；果断的，坚定的
magical,adj. 魔术的；有魔力的
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
commitment,n. 承诺，保证；委托；承担义务；献身
clergyman,n. 牧师；教士
confront,vt. 面对；遭遇；比较
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
groundbreaking,"n. 动工
adj. 开创性的"
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
worldly,"adj. 世俗的；世间的；尘世的
adv. 世俗地；世故地"
perfection,n. 完善；完美
introduce,vt. 介绍；引进；提出；采用
anthropology,"n. 人类学
人类学家"
anthropologist,n. 人类学家；人类学者
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
particularism,n. 特殊神宠论；完全忠于一种理论
diffusionism, 弥漫说
attribute,"n. 属性；特质
vt. 归属；把…归于"
virtually,adv. 事实上，几乎；实质上
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
solidarity,n. 团结，团结一致
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
association,n. 协会，联盟，社团；联合；联想
gratify,vt. 使满足；使满意，使高兴
perpetuity,n. 永恒
enslavement,n. 奴役
by-product,n. 副产品；附带产生的结果；意外收获
directive,"n. 指示；指令
adj. 指导的；管理的"
industriousness,n. 勤勉，勤奋
disposition,n. 处置； 性情； 部署；倾向
consequence,n. 结果；重要性；推论
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
tuition,n. 学费；讲授
council,n. 委员会；会议；理事会；地方议会；顾问班子
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
arise,vi. 出现；上升；起立
output,"n. 输出，输出量；产量；出产
vt. 输出"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
alter,"vt. 改变，更改
vi. 改变；修改"
econometric,adj. 计量经济学的
in store,"na. 准备着
 贮藏着；必将发生；储藏着"
on record, 记录在案的；记录在案；记录下来的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
interpretation,n. 解释；翻译；演出
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
slacken off,"un. 松劲
 萧条；懈怠；松懈"
alleged,"v. 宣称（allege的过去式和过去分词）；断言
adj. 所谓的；声称的；被断言的"
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
coverage,n. 覆盖，覆盖范围；新闻报道
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
learned,adj. 博学的；有学问的；学术上的
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
circulation,n. 流通，传播；循环；发行量
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
virtually,adv. 事实上，几乎；实质上
cricket,n. 板球，板球运动；蟋蟀
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
stylist,n. 设计师；文体学家
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
upholster,vt. 装饰；用（挂毯、家具等）布置；为（沙发等）装上垫子
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
allocation,n. 分配，配置；安置
authorize,vt. 批准，认可；授权给；委托代替
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
abuzz,adj. 嗡嗡的；嘁嘁喳喳的；呈现忙碌状况(的)；议论纷纷(的)
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
explosion,n. 爆炸；爆发；激增
filing,"n. 文件归档；锉；锉屑
vt. 锉（file的现在分词）"
established,adj. 确定的；已制定的，已建立的
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
uphold,vt. 支撑；鼓励；赞成；举起
attorney,n. 律师；代理人；检查官
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
supposed,"v. 假定（suppose的过去分词）
adj. 假定的；被信以为真的；想象上的"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
cursory,adj. 粗略的；草率的；匆忙的
anecdotal,adj. 轶事的；轶事一样的；多轶事的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
celebrity,n. 名人；名声
outsize,"adj. 特大的
n. 特大号"
presence,n. 存在；出席；参加；风度；仪态
acquaintance,n. 熟人；相识；了解；知道
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
simulation,n. 仿真；模拟；模仿；假装
manipulate,vt. 操纵；操作；巧妙地处理；篡改
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
regulator,n. 调整者；监管者；校准器
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
management,n. 管理；管理人员；管理部门；操纵；经营手段
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
commissioner,n. 理事；委员；行政长官；总裁
paralysis,n. 麻痹；无力；停顿
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
hostility,n. 敌意；战争行动
invite,"n. 邀请
vt. 邀请，招待；招致"
concession,n. 让步；特许（权）；承认；退位
preference,n. 偏爱，倾向；优先权
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
grocery,"n. 食品杂货店
食品杂货"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
variation,n. 变化； 变异，变种
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
definitely,adv. 清楚地，当然；明确地，肯定地
functioning,"n. 运行，运作； 功能；机能；起酌（function的动名词）
v. 运行，起作用（function的现在分词形式）"
be up to,"un. 面对；在干；居心
 胜任；该由…负责；应由"
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
take hold,"un. 抓住
 固定下来；生根；扛着"
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
profitably,adv. 有利地；有益地
gigantic,adj. 巨大的，庞大的
infrastructure,n. 基础设施；公共建设；下部构造
proven,v. 证明（prove的过去分词）
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
logistics,"n.  后勤；后勤学
物流"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
intricacy,n. 错综，复杂；难以理解
may well,"na. 也有好处
 很可能；保不住；充分理由"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
inspection,n. 视察，检查
segment,"n. 段；部分
vt. 分割
vi. 分割"
unseat,vt. 罢免；剥夺…的席位；使失去资格；使从座位上（或马背上）摔下
entrenched,"v. 确立；保证；挖掘壕沟（entrench的过去分词）
adj. 根深蒂固的；确立的，不容易改的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
fragmented,"adj. 片断的；成碎片的
v. 分裂（fragment的过去分词）；使成碎片"
feasible,adj. 可行的；可能的；可实行的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
deter,vt. 制止，阻止；使打消念头
