precise,adj. 精确的；明确的；严格的
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
faith,n. 信仰；信念；信任；忠实
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
truly,adv. 真实地，不假；真诚地
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
defend,"vi. 保卫；防守
vt. 辩护；防护"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
revolution,n. 革命；旋转；运行；循环
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
worthless,adj. 无价值的；不值钱的；卑微的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
confuse,vt. 使混乱；使困惑
alive,adj. 活着的；活泼的；有生气的
indicate,vt. 表明；指出；预示；象征
important,adj. 重要的，重大的；有地位的；有权力的
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
matter,"n. 物质；事件
vi. 有关系；要紧"
learned,adj. 博学的；有学问的；学术上的
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
digital,"n. 数字；键
adj. 数字的；手指的"
reasonable,adj. 合理的，公道的；通情达理的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
overcoat,n. 大衣，外套
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
passer-by,n. 过路人；经过的人
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
conscience,n. 道德心，良心
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
congratulate,vt. 祝贺；恭喜；庆贺
acquisition,n. 获得物，获得；收购
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
boundary,n. 边界；范围；分界线
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
obtain,"vi. 获得；流行
vt. 获得"
evolution,n. 演变；进化论；进展
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
arise,vi. 出现；上升；起立
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
Catholic,
ripen,"vt. 使成熟
vi. 成熟"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
expectation,n. 期待；预期；指望
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
statement,n. 声明；陈述，叙述；报表，清单
cooker,n. 炊具；烹饪用水果；窜改者
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
explanation,n. 说明，解释；辩解
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
string,n. 线，弦，细绳；一串，一行
devote,vt. 致力于；奉献
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
political,adj. 政治的；党派的
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
upper,adj. 上面的，上部的；较高的
bless,vt. 祝福；保佑；赞美
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
arrangement,n. 布置；整理；准备
distinction,n. 区别；差别；特性；荣誉、勋章
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
explain,v. 说明；解释
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
fridge,n. 电冰箱
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
currency,n. 货币；通货
studio,n. 工作室； 演播室；画室；电影制片厂
ability,n. 能力，能耐；才能
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
eyesight,n. 视力；目力
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
choose,"vt. 选择，决定
vi. 选择，挑选"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
interpreter,n. 解释者；口译者；注释器
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
commitment,n. 承诺，保证；委托；承担义务；献身
risen,"v. 升高；站起来；反抗（rise的过去分词）
adj. 升起的"
spear,"n. 矛，枪
vt. 用矛刺"
enterprise,n. 企业；事业；进取心；事业心
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
incorrect,adj. 错误的，不正确的；不适当的；不真实的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
athlete,n. 运动员，体育家；身强力壮的人
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
nutrition,n. 营养，营养学；营养品
tasteless,adj. 无味的；无鉴赏力的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
alcohol,n. 酒精，乙醇
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
delete,vt. 删除
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
action,n. 行动；活动；功能；战斗；情节
suitable,adj. 适当的；相配的
stubborn,adj. 顽固的；顽强的；难处理的
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
height,n. 高地；高度；身高；顶点
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
passage,n. 一段（文章）；走廊；通路
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
fright,"n. 惊吓；惊骇
vt. 使惊恐"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
basis,n. 基础；底部；主要成分；基本原则或原理
smoke-free,adj. 无烟的；禁止吸烟的
reuse,"n. 重新使用，再用
vt. 再使用"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
signature,n. 署名；签名；信号
presentation,n. 展示；描述，陈述；介绍；赠送
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
obvious,adj. 明显的；显著的；平淡无奇的
especially,adv. 特别；尤其；格外
statistics,n. 统计；统计学； 统计资料
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
devotion,n. 献身，奉献；忠诚；热爱
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
hydrogen,n.  氢
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
settlement,n. 解决，处理； 结算；沉降；殖民
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
apology,n. 道歉；谢罪；辩护；勉强的替代物
responsibility,n. 责任，职责；义务
passport,n. 护照，通行证；手段
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
remind,vt. 提醒；使想起
version,n. 版本；译文；倒转术
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
cafeteria,n. 自助餐厅
grocer,n. 杂货店；食品商
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
