abnormal,adj. 反常的，不规则的；变态的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
diameter,n. 直径
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
lest,conj. 唯恐，以免；担心
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
coarse,adj. 粗糙的；粗俗的；下等的
ascertain,vt. 确定；查明；探知
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
maximal,adj. 最高的，最大的；最全面的
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
reluctant,adj. 不情愿的；勉强的；顽抗的
brutal,adj. 残忍的；野蛮的，不讲理的
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
bewilder,vt. 使迷惑，使不知所措
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
essence,n. 本质，实质；精华；香精
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
whine,"n. 抱怨；牢骚；哀鸣
vt. 哀诉
vi. 发牢骚；哭诉；嘎嘎响；发呜呜声"
aggravate,vt. 加重；使恶化；激怒
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
instead,adv. 代替；反而；相反
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
eminent,adj. 杰出的；有名的；明显的
questionable,adj. 可疑的；有问题的
prudent,adj. 谨慎的；精明的；节俭的
trait,n. 特性，特点；品质；少许
discreet,adj. 谨慎的；小心的
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
appraise,vt. 评价，鉴定；估价
accomplish,vt. 完成；实现；达到
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
far-off,adj. 遥远的
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
ambiguous,adj. 模糊不清的；引起歧义的
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
instance,"n. 实例；情况；建议
vt. 举...为例"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
apparent,adj. 显然的；表面上的
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
define,vt. 定义；使明确；规定
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
ample,adj. 丰富的；足够的；宽敞的
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
reliant,adj. 依赖的；可靠的；信赖的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
monumental,adj. 不朽的；纪念碑的；非常的
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
endorse,vt. 背书；认可；签署；赞同；在背面签名
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
continuous,adj. 连续的，持续的；继续的；连绵不断的
impartial,adj. 公平的，公正的；不偏不倚的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
vicinity,n. 邻近，附近；近处
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
imitate,vt. 模仿，仿效；仿造，仿制
complement,"n. 补语；余角；补足物
vt. 补足，补助"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
lopsided,adj. 不平衡的，倾向一方的
denounce,vt. 谴责；告发；公然抨击；通告废除
virtue,n. 美德；优点；贞操；功效
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
punctual,adj. 准时的，守时的；精确的
bizarre,adj. 奇异的（指态度，容貌，款式等）
rigorous,adj. 严格的，严厉的；严密的；严酷的
spontaneous,adj. 自发的；自然的；无意识的
incite,vt. 煽动；激励；刺激
versus,prep. 对；与...相对；对抗
intuition,n. 直觉；直觉力；直觉的知识
cosmic,adj. 宇宙的（等于cosmical）
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
impatient,adj. 焦躁的；不耐心的
speculate,"vi. 推测；投机；思索
vt. 推断"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
consequence,n. 结果；重要性；推论
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
authentic,adj. 真正的，真实的；可信的
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
impetus,n. 动力；促进；冲力
omit,vt. 省略；遗漏；删除；疏忽
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
tremendous,adj. 极大的，巨大的；惊人的；极好的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
vigorous,adj. 有力的；精力充沛的
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
illusion,n. 幻觉，错觉；错误的观念或信仰
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
benign,adj. 良性的；和蔼的，亲切的；吉利的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
aspire,vi. 渴望；立志；追求
accumulate,"vt. 积攒
vi. 累积；积聚"
facilitate,vt. 促进；帮助；使容易
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
rational,"n. 有理数
adj. 合理的；理性的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
flexible,adj. 灵活的；柔韧的；易弯曲的
precious,adj. 宝贵的；珍贵的；矫揉造作的
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
spectrum,n. 光谱；频谱；范围；余象
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
moreover,adv. 而且；此外
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
sufficient,adj. 足够的；充分的
entrenched,"v. 确立；保证；挖掘壕沟（entrench的过去分词）
adj. 根深蒂固的；确立的，不容易改的"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
majestic,adj. 庄严的；宏伟的
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
immerse,vt. 沉浸；使陷入
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
disposition,n. 处置； 性情； 部署；倾向
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
frugal,adj. 节俭的；朴素的；花钱少的
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
detach,vt. 分离；派遣；使超然
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
deduce,vt. 推论，推断；演绎出
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
eradicate,vt. 根除，根绝；消灭
responsible,adj. 负责的，可靠的；有责任的
construct,"n. 构想，概念
vt. 建造，构造；创立"
contempt,n. 轻视，蔑视；耻辱
slender,adj. 细长的；苗条的；微薄的
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
efficient,adj. 有效率的；有能力的；生效的
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
adequate,adj. 充足的；适当的；胜任的
competent,adj. 胜任的；有能力的；能干的；足够的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
eject,vt. 喷射；驱逐，逐出
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
gigantic,adj. 巨大的，庞大的
hitherto,adv. 迄今；至今
convince,vt. 说服；使确信，使信服
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
continual,adj. 持续不断的；频繁的
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
consecutive,adj. 连贯的；连续不断的
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
apparent,adj. 显然的；表面上的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
advent,n. 到来；出现；基督降临；基督降临节
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
fragile,adj. 脆的；易碎的
locality,n. 所在；位置；地点
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
applicable,adj. 可适用的；可应用的；合适的
