fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
antidote,n.  解毒剂；解药；矫正方法
figurehead,n. 破浪神；有名无实的领袖；装饰船头的人像
backdrop,n. 背景；背景幕；交流声
intrinsic,adj. 本质的，固有的
demoralize,vt. 使道德败坏；使堕落；使士气低落
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
latch,"vi. 占有，抓住；闭锁
vt. 闩上；纠缠住某人
n. 门闩"
pageant,n. 盛会；游行；虚饰；露天表演
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
flicker,"n. 闪烁；闪光；电影
vi. 闪烁；摇曳；颤动；扑动翅膀；假装昏倒
vt. 使闪烁；使摇曳"
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
apiece,adv. 每人；每个；各自地
bashful,adj. 害羞的，腼腆的
replenish,vt. 补充，再装满；把…装满；给…添加燃料
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
sporadic,adj. 零星的；分散的；不定时发生的
disconcerting,adj. 令人不安的；打扰人的
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
pastoral,"n. 牧歌；田园诗；田园景色
adj. 牧师的；牧人的；田园生活的；乡村的"
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
inexpert,"n. 生手
adj. 不熟练的（名词inexpertness，副词inexpertly）"
circumnavigate,vt. 环航
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
litigation,n. 诉讼；起诉
magistrate,n. 地方法官；文职官员；治安推事
affidavit,n. 宣誓书
florae,"n. 植物区系；植物志；植物群；(某一地域的)全部植物
 弗氏狮子鱼"
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
crony,n. 密友；好朋友
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
inexplicable,adj. 费解的；无法说明的；不能解释的
proximity,n. 接近，邻近；接近；接近度，距离；亲近
preamble,"n. 序文；电报报头；先兆
vi. 作序文"
dissuade,vt. 劝阻，劝止
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
ram,abbr. 随机访问内存（random-access memory的缩写）；随机存取存储器（random access memory的缩写）
ranger,n. 突击队员；漫游者；骑警；别动队员
raffle,"n. 废物；抽彩售货
vt. 抽彩售货
vi. 抽彩"
suction,n. 吸；吸力；抽吸
subtlety,n. 微妙；敏锐；精明
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
sonar,n. 声纳；声波定位仪（等于asdic）
scathe,"n. 损伤；危害；损害
vt. 损伤；损害"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
pagan,"adj. 异教的；异教徒的
n. 异教徒；无宗教信仰者"
torso,n. 躯干；裸体躯干雕像；未完成的作品；残缺不全的东西
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
massage,"vt. 按摩；揉
n. 按摩；揉"
lexicography,n. 词典编纂
ludicrous,adj. 滑稽的；荒唐的
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
beguile,vt. 欺骗；使着迷；轻松地消磨
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
choral,"n. 赞美诗；唱诗班
adj. 合唱的；合唱队的"
colossal,adj. 巨大的；异常的，非常的
colt,n. 柯尔特式自动手枪；柯尔特公司（美著名制枪厂商）
frigid,adj. 寒冷的，严寒的；冷淡的
devout,adj. 虔诚的；衷心的
anomaly,n. 异常；不规则；反常事物
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
ascertain,vt. 确定；查明；探知
deprecate,vt. 反对；抨击；轻视；声明不赞成
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
acme,n. 顶点，极点；最高点
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
efficacious,adj. 有效的；灵验的
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
diffused,"adj. 散布的，扩散的；普及的
v. 散布，传播（diffuse的过去分词）；使分散"
embody,vt. 体现，使具体化；具体表达
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
divinity,n. 神；神性；神学
Jesus,n. 耶稣（上帝之子）；杰西（男子名）
tantamount,adj. 同等的；相当于…的
heresy,n. 异端；异端邪说；异教
concentric,adj. 同轴的；同中心的
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stylize,"vt. 使风格化；使程式化
vi. 符合特定（或传统）程式"
thereby,adv. 从而，因此；在那附近；在那方面
foray,"n. 涉足，初次尝试；突袭；侵略；攻击
vi. 袭击
vt. 劫掠"
wily,adj. 狡猾的；诡计多端的
reticent,adj. 沉默的；有保留的；谨慎的
apex,n. 顶点；尖端
ark,n. 约柜；方舟；（美）平底船；避难所
clinch,"n. 拥吻；钉牢
v. 扭住；敲弯；最终确定或解决"
goggle,"n. 护目镜，风镜；眼睛睁视
adj. 瞪眼的，睁眼的
vt. 使瞪眼；使眼珠转动
vi. 眼珠转动；瞪眼看"
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
straddle,"n. 跨坐
vt. 叉开(腿)；骑，跨；跨立于；跨越
vi. 跨坐；两腿叉开坐"
demobilize,vt. 遣散；使复员；使退伍（demobilise）
whoop,"n. 大叫；哮喘声；呐喊；一点点
vt. 高声说；唤起
vi. 叫喊；喘息"
rove,"n. 流浪；徘徊；粗纺线
vi. 流浪；飘忽不定
vt. 漫游于；漂泊于"
influx,n. 流入；汇集；河流的汇集处
inflow,"n. 流入；流入物；岭量
vi. 流入；货币回笼"
sheik,n. 酋长，族长（阿拉伯人的）
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
umpire,"n. 裁判员，仲裁人
vt. 仲裁，裁判
vi. 当裁判，任裁判"
mussel,n. 蚌；贻贝；淡菜
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
multilateral,adj.  多边的；多国的，多国参加的
periphery,n. 外围，边缘；圆周；圆柱体表面
trait,n. 特性，特点；品质；少许
dilate,"vt. 使扩大；使膨胀
vi. 扩大；膨胀；详述"
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
ghastly,"adj. 可怕的；惨白的；惊人的；极坏的
adv. 恐怖地；惨白地"
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
jocose,adj. 诙谐的；开玩笑的
pensive,adj. 沉思的，忧郁的；悲伤的，哀愁的
inert,adj.  惰性的；呆滞的；迟缓的；无效的
divulge,vt. 泄露；暴露
whet,"n. 磨；开胃物；刺激物
vt. 刺激；磨快；促进"
gusto,n. 爱好；由衷的高兴；嗜好
stupor,n. 昏迷，恍惚；麻木
astute,adj. 机敏的；狡猾的，诡计多端的
wince,"n. 畏缩；脸部肌肉的抽搐
vi. 畏缩，退避"
antithesis,n. 对立面；对照；对仗
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
novice,n. 初学者，新手
downright,"adj. 明白的；直率的；显明的
adv. 完全，彻底；全然"
cachet,n. （证明品质的）优良标志；公务印章；私人印戳；标记；威望；纪念邮戳
unimpeachable,adj. 无可指责的；无可怀疑的；无懈可击的；无过失的，无罪的
imperturbable,adj. 冷静的；泰然自若的
assiduous,adj. 刻苦的，勤勉的
highheel,
variant,"n. 变体；转化
adj. 不同的；多样的"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
emblem,"n. 象征；徽章；符号
vt. 象征；用符号表示；用纹章装饰"
abusive,adj. 辱骂的；滥用的；虐待的
probation,n. 试用；缓刑；查验
soprano,"n. 女高音；最高音部；女高音歌手
adj. 女高音的；童声高音的"
tarry,"n. 逗留
adj. 涂了焦油的
vt. 等待
vi. 等候；逗留；耽搁"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
fluke,"n. 侥幸；锚爪；意外的挫折
vt. 侥幸成功；意外受挫
vi. 侥幸成功"
knack,n. 诀窍；本领；熟练技术；巧妙手法
venison,n. 鹿肉；野味
deregulate,"vt. 解除对……的管制
vi. 解除控制"
demote,vt. 使降级；使降职
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
rime,"n.  雾凇；白霜；结晶
vt. 使蒙霜
vi. 蒙上白霜"
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
projection,n. 投射；规划；突出；发射；推测
prologue,"n. 开场白；序言
vt. 加上…前言；为…作序"
prophesy,"vt. 预言；预告
vi. 预言；预报；传教"
prototype,n. 原型；标准，模范
earthenware,n. 陶器；土器
pouch,"n. 小袋；育儿袋；烟草袋
vi. 成袋状
vt. 使成袋状；把…装入袋中"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
feigned,"adj. 假的；做作的；捏造的
v. 假装；捏造（feign的过去式）"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
apparel,"n. 服装；衣服
vt. 给…穿衣"
concur,vi. 同意；一致；互助
rigorous,adj. 严格的，严厉的；严密的；严酷的
succumb,vi. 屈服；死；被压垮
adroit,adj. 敏捷的，灵巧的；熟练的
aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
paradise,"n. 天堂
至福境地"
fiddling,"n. 诈骗
adj. 无用的；无足轻重的；微不足道的（等于fiddly）
v. 拉小提琴；虚度时光（fiddle的ing形式）"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
constituency,n. （选区的）选民；支持者；（一批）顾客
dynamite,"n. 炸药；具有潜在危险的人（或物）
vt. 炸毁
adj. 极好的"
chronically,adv. 长期地；慢性地；习惯性地
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
perilous,adj. 危险的，冒险的
rapprochement,n. 友好；恢复邦交；友善关系的建立
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
demeanor,n. 风度；举止；行为
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
humus,n. 腐殖质；腐植土
collate,vt. 核对，校对；校勘
deaden,"vt. 使减弱；使麻木；隔阻
vi. 变得如死一般；失去活力"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
alliteration,n. 头韵；同音韵错误症
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
advocacy,n. 主张；拥护；辩护
connote,vt. 意味着；含言外之意
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的"
amnesia,n. 健忘症， 记忆缺失
banter,n. 无恶意的玩笑
mania,n. 狂热；狂躁；热衷
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
lieu,n. 代替；场所
levity,n. 多变；轻浮；轻率；不稳定
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
matrix,n.  矩阵；模型； 基质；母体；子宫； 脉石
caricature,"n. 漫画；讽刺画；漫画手法
vt. 画成漫画讽刺"
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
wallow,"n. 打滚；堕落；泥坑
vi. 打滚；沉迷；颠簸"
quadratic,"n. 二次方程式
adj.  二次的"
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
sentinel,"n. 哨兵
vt. 守卫，放哨"
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
deft,adj. 灵巧的；机敏的；敏捷熟练的
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
decadent,"adj. 颓废的；衰微的
n. 颓废者"
deterrent,"n. 威慑；妨碍物；挽留的事物
adj. 遏制的，威慑的；制止的"
condescend,vi. 屈尊；俯就；（对某人）表现出优越感
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
forlorn,adj. 被遗弃的；绝望的；孤独的
psychiatrist,n. 精神病学家，精神病医生
recurrent,adj. 复发的；周期性的，经常发生的
tingle,"n. 刺痛感；激动；鸣响
vt. 刺痛；使激动
vi. 感到刺痛；（耳朵等）鸣响"
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
layman,n. 外行；门外汉；俗人；一般信徒
marijuana,n. 大麻；大麻毒品
psychiatry,n. 精神病学；精神病治疗法
menopause,n. 更年期；活动终止期
multiplicity,n. 多样性； 多重性
endanger,vt. 危及；使遭到危险
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
christen,vt. 为…命名；为…施洗礼
far-fetched,adj. 牵强附会的
inferiority,n. 自卑；下属；次等；下部
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
jumbo,"adj. 巨大的；特大的
n. 庞然大物；巨型喷气式飞机；体大而笨拙的人或物"
subscriber,n. 订户；签署者；捐献者
pamphlet,n. 小册子
tapestry,"n. 织锦；挂毯；绣帷
vt. 用挂毯装饰"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
waddle,"n. 蹒跚；摇摆的步子
vi. 摇摇摆摆地走；蹒跚而行"
grandeur,n. 壮丽；庄严；宏伟
juncture,n. 接缝；连接；接合
ejaculate,"n. 一次射出的精液
vt. 突然说出；射出
vi. 射精；射出液体"
tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
teak,n. 柚木
goody,"n. 糖果；身份低微之老妇；吸引人的东西；伪君子
adj. 感伤的；伪善的；假正经的
int. 太好啦"
hyphen,"n. 连字号
vt. 以连字号连接"
artifice,n. 诡计；欺骗；巧妙的办法
artisan,n. 工匠，技工
wiggle,"n. 扭动
vt. 使……摆动，使……扭动
vi. 摆动"
woo,"vt. 追求；招致；向…求爱；恳求
vi. 求爱；恳求"
overstate,vt. 夸张；夸大的叙述
larynx,n.  喉；喉头
hammock,"n. 吊床；吊铺；吊带
vt. 睡吊床"
spew,"vt. 喷出；呕吐
vi. 喷涌；呕吐"
parry,"n. 回避；挡开；闪避的回答
vt. 回避；挡开
vi. 回避；阻挡"
teeter,"n. 跷跷板；摇摆
vt. 使…摇摆；使…上下晃动
vi. 摇晃；玩跷跷板；步履蹒跚；摇摇欲坠；岌岌可危"
agile,adj. 敏捷的；机敏的；活泼的
maniac,"n. 疯子，躁狂者
adj. 发狂的；狂热的；癫狂的"
gaunt,adj. 憔悴的；荒凉的；枯瘦的
genial,adj. 亲切的，友好的；和蔼的；适宜的
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
lurking,n. （新用户的）“潜伏”（在USENET上作为旁观者，不参加讨论）
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
lynch,"n. 私刑；私刑处死；（英）田埂
vt. 处以私刑；以私刑处死"
wilting,"n.  萎蔫；凋萎
v. 枯萎；衰弱（wilt的ing形式）"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
orator,n. 演说者；演讲者；雄辩家；原告
