intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
core,
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
old-fashioned,adj. 老式的；过时的；守旧的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
strive,vi. 努力；奋斗；抗争
uncool,adj. 粗野的；没把握的；不冷静沉着的；土里土气的
perception,n. 知觉； 感觉；看法；洞察力；获取
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
geography,n. 地理；地形
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
omnivore,n.  杂食动物；不偏食的人
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
studio,n. 工作室； 演播室；画室；电影制片厂
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
debt,n. 债务；借款；罪过
element,n. 元素；要素；原理；成分；自然环境
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
layout,n. 布局；设计；安排；陈列
march,n. 三月
paraphrase,"n. 释义；解释；意译
vt. 释义"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
ratio,n. 比率，比例
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
stuffy,adj. 闷热的；古板的；不通气的
underfund,vt. 对…提供资金不足
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
cottage,n. 小屋；村舍；（农舍式的）小别墅
decade,n. 十年，十年期；十
far-off,adj. 遥远的
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
neural,adj. 神经的；神经系统的；背的；神经中枢的
online,"adj. 联机的；在线的
adv. 在线地"
rational,"n. 有理数
adj. 合理的；理性的"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
carrier,n.  载体；运送者；带菌者；货架
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
surveillance,n. 监督；监视
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
ventilation,n. 通风设备；空气流通
heating,"n.  加热； 供暖；暖气设备
v.  加热（heat的现在分词）
adj. 加热的；供热的"
residential,adj. 住宅的；与居住有关的
rebellious,adj. 反抗的；造反的；难控制的
altruistic,adj. 利他的；无私心的
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
decent,adj. 正派的；得体的；相当好的
far-reaching,adj. 深远的；广泛的；伸至远处的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
subfield,n.  子域；分区
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
amendment,n. 修正案；改善；改正
backdrop,n. 背景；背景幕；交流声
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
campus,n. （大学）校园；大学，大学生活；校园内的草地
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
creation,n. 创造，创作；创作物，产物
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
elicit,vt. 抽出，引出；引起
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
falsehood,n. 说谎；假话；不真实；错误的信仰
foresight,n. 先见，远见；预见；深谋远虑
government-defined,
distinct,adj. 明显的；独特的；清楚的；有区别的
insecurity,n. 不安全；不牢靠；无把握；心神不定
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
lucrative,adj. 有利可图的，赚钱的；合算的
milestone,n. 里程碑，划时代的事件
newcomer,n.  新来者；新到的移民
onion,n. 洋葱；洋葱头
packed,"adj. （常用来构成复合词）充满…的，塞满了…的
v.  包装（pack的过去分词）"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
architect,"n. 建筑师
缔造者"
presuppose,vt. 假定；预料；以…为先决条件
pupil,n. 学生； 瞳孔；未成年人
reliance,n. 信赖；信心；受信赖的人或物
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
traveller,n. 旅行者
unpopular,adj. 不流行的，不受欢迎的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
whereby,adv. 凭借；通过…；借以；与…一致
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
elite,n. 精英；精华；中坚分子
farther,"adj. 进一步的；更远的（far的比较级）
adv. 更远地；此外；更进一步地"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
opera,n. 歌剧；歌剧院；歌剧团
partial,adj. 局部的；偏爱的；不公平的
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
subsequent,adj. 后来的，随后的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
courage,n. 勇气；胆量
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
newsprint,n. 新闻用纸（等于newspaper）
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
science,n. 科学；技术；学科；理科
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
undermine,vt. 破坏，渐渐破坏；挖掘地基
victory,n. 胜利；成功；克服
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
elude,vt. 逃避，躲避
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
marketplace,n. 市场；商场；市集
newsstand,n. 报摊；杂志摊
opportunity,n. 时机，机会
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
success,n. 成功，成就；胜利；大获成功的人或事物
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
well-connected,adj. 有好亲戚的；出身名门的；血统关系好的；精心构思的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
e-commerce,n. 电子商务
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
viewpoint,n. 观点，看法；视角
well-educated,adj. 受过良好教育的
amid,prep. 在其中，在其间
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
coding,"n. 译码
v. 把…编码（code的ing形式）"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
equation,n. 方程式，等式；相等； 反应式
falsely,adv. 错误地；虚伪地；不实地
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
hindrance,n. 障碍；妨碍；妨害；阻碍物
incite,vt. 煽动；激励；刺激
lawyer,n. 律师；法学家
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
newsroom,n. 新闻编辑部；报刊阅览室
opinion,n. 意见；主张
painlessly,adv. 无痛苦地，不费力地
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
shortfall,n. 差额；缺少
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
