discrepancy,n. 不符；矛盾；相差
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
inadequate,adj. 不充分的，不适当的
compile,vt. 编译；编制；编辑； 汇编
charismatic,adj. 超凡魅力的；神赐能力的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
depress,vt. 压抑；使沮丧；使萧条
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
custody,n. 保管；监护；拘留；抚养权
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
impeach,"n. 控告，检举；弹劾；怀疑
vt. 弹劾；归咎；怀疑"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
avoid,vt. 避免；避开，躲避；消除
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
docile,adj. 温顺的，驯服的；容易教的
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
infer,"vi. 推断；作出推论
vt. 推断；推论"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
refine,vt. 精炼，提纯；改善；使…文雅
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
economize,"vi. 节约，节省；有效地利用
vt. 节约，节省；有效地利用"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
haggle,"n. 讨价还价；争论
vi. 争论；乱劈
vt. 乱劈；乱砍"
inventory,n. 存货，存货清单；详细目录；财产清册
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
conscience,n. 道德心，良心
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
application,n. 应用；申请；应用程序；敷用
avenge,"vt. 替…报仇
vi. 报复，报仇"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
crafty,adj. 狡猾的；灵巧的
exhilarate,vt. 使高兴，使振奋；使愉快
enact,vt. 颁布；制定法律；扮演；发生
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
selection,n. 选择，挑选；选集；精选品
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
brood,"n. 一窝；一伙
vt. 孵；沉思"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
diplomacy,n. 外交；外交手腕；交际手段
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
surmount,vt. 克服，越过；战胜
superstition,n. 迷信
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
distribute,vt. 分配；散布；分开；把…分类
enthusiastic,adj. 热情的；热心的；狂热的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
essence,n. 本质，实质；精华；香精
cultivate,vt. 培养；陶冶；耕作
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
auction,"n. 拍卖
vt. 拍卖；竞卖"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
thereby,adv. 从而，因此；在那附近；在那方面
restrain,vt. 抑制，控制；约束；制止
barbaric,adj. 野蛮的，粗野的；原始的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
bewilder,vt. 使迷惑，使不知所措
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
length,n. 长度，长；时间的长短；（语）音长
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
angular,adj.  有角的；生硬的，笨拙的；瘦削的
kindle,"vt. 点燃；激起；照亮
vi. 发亮；着火；激动起来"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
privacy,n. 隐私；秘密；隐居；隐居处
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
detach,vt. 分离；派遣；使超然
efficient,adj. 有效率的；有能力的；生效的
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
specify,vt. 指定；详细说明；列举；把…列入说明书
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
expel,vt. 驱逐；开除
amiss,"adj. 有毛病的，有缺陷的；出差错的
adv. 错误地"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
strive,vi. 努力；奋斗；抗争
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fidelity,n. 保真度；忠诚；精确；尽责
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
partial,adj. 局部的；偏爱的；不公平的
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
correspond,vi. 符合，一致；相应；通信
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
revenue,n. 税收，国家的收入；收益
event,n. 事件，大事；项目；结果
frosty,adj. 结霜的，严寒的；冷淡的；灰白的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
somehow,adv. 以某种方法；莫名其妙地
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
unconditional,adj. 无条件的；绝对的；无限制的
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
assignment,n. 分配；任务；作业；功课
toxic,adj. 有毒的；中毒的
illegible,adj. 难辨认的；字迹模糊的
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
lest,conj. 唯恐，以免；担心
testify,"vi. 作证；证明
vt. 证明，证实；作证"
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
emphasize,vt. 强调，着重
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
analyze,vt. 对…进行分析，分解（等于analyse）
engulf,vt. 吞没；吞食，狼吞虎咽
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
undertake,vt. 承担，保证；从事；同意；试图
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
afford,vt. 给予，提供；买得起
inevitable,adj. 必然的，不可避免的
quota,n. 配额；定额；限额
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
commence,v. 开始；着手；<英>获得学位
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
indict,vt. 控告，起诉； 揭发
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
facilitate,vt. 促进；帮助；使容易
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
spontaneous,adj. 自发的；自然的；无意识的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
criterion,n. （批评判断的）标准；准则；规范；准据
cynical,adj. 愤世嫉俗的；冷嘲的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
practical,adj. 实际的；实用性的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
memorize,vt. 记住，背熟；记忆
dispatch,"n. 派遣；急件
vt. 派遣；分派"
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
affordable,adj. 负担得起的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
adjacent,adj. 邻近的，毗连的
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
